version,number of symbols,added symbols,removed symbols
6.0.7,966,13,0
6.0.6,953,1,4
6.0.5,956,1,0
6.0.2,955,1,0
6.0.1,954,122,83
5.6.1,915,100,3
5.3.0,818,285,50
4.1.0,583,,
