version,number of symbols,added symbols,removed symbols
1.5.12,758,4,0
1.5.9,754,12,1
1.5.8,743,0,0
1.5.7,743,1,0
1.5.4,742,0,0
1.5.3,742,0,0
1.5.2,742,15,1
1.4.0,728,7,2
1.3.0,723,7,4
1.2.1,720,14,0
1.2.0,706,0,14
1.1.1,720,25,0
1.0.0,695,61,45
0.90.3,679,4,2
0.90.1,677,26,25
0.70.0,676,101,65
0.50.3,640,25,16
0.47.5,631,,
