version,number of symbols,added symbols,removed symbols
1.3.2,530,0,1
1.3.0,531,16,1
1.2.0,516,1,0
1.1.0,515,242,66
1.0.5,339,0,0
1.0.3,339,0,0
1.0.2,339,2,0
1.0.1,337,2,0
1.0b3,335,1,0
1.0b2,334,,
