version,number of symbols,added symbols,removed symbols
2.4.2,1039,11,260
2.4.0,1288,305,3
2.3.3,986,48,23
2.2.5,961,0,0
2.2.0,961,29,12
2.0.3,944,0,0
2.0.2,944,,
