version,number of symbols,added symbols,removed symbols
0.4.1,461,0,0
0.4.0,461,1,0
0.3.3,460,6,0
0.3.2,454,53,1
0.2.1,402,1,27
0.2.0,428,0,0
0.1.6,428,17,1
0.1.5,412,15,2
0.1.4,399,92,18
0.1.1,325,4,0
0.1.0,321,55,8
0.0.5,274,93,36
0.0.3,217,28,0
0.0.2,189,38,5
0.0.1post2,156,,
