version,number of symbols,added symbols,removed symbols
2.2.1,645,67,35
2.2.0,613,89,18
2.1.3,542,11,0
2.1.2,531,37,5
2.0.0,499,12,4
2.0.0beta2,491,12,2
2.0.0beta,481,55,2
1.1.1,428,7,0
1.1.0,421,70,38
1.0.5,389,45,13
1.0.3,357,6,0
1.0.2,351,,
