version,number of symbols,added symbols,removed symbols
2.0.0,1146,74,43
1.0.1,1115,207,1412
0.17.1,2320,12,0
0.17.0,2308,475,64
0.15.1,1897,388,33
0.13.0,1542,162,62
0.12.0,1442,189,14
0.11.1,1267,141,15
0.10.0,1141,206,27
0.9.0,962,415,35
0.6.0,582,89,28
0.4.1,521,172,137
0.3.0,486,0,0
0.3.pre,486,351,94
0.1.post,229,,
