version,number of symbols,added symbols,removed symbols
8.4.4,307,0,0
8.4.2,307,14,0
8.3.0,293,116,7
6.2.1,184,0,0
6.2.0,184,78,165
5.8.3,271,6,0
5.8.0,265,5,3
5.7.0,263,0,3
5.5.0,266,,
