version,number of symbols,added symbols,removed symbols
0.7.1,173,7,8
0.5.4,174,103,13
0.4.1,84,0,0
0.4,84,7,1
0.3.1,78,0,0
0.3,78,10,0
0.2.2,68,0,0
0.2.1,68,,
