version,number of symbols,added symbols,removed symbols
0.17.3,241,0,0
0.17.2,241,0,0
0.17.0,241,0,6
0.15.7,247,7,1
0.15.1,241,0,0
0.15.0,241,1,0
0.14.11,240,,
