version,number of symbols,added symbols,removed symbols
2.3.1,715,359,111
2.1.4,467,0,0
2.1.3,467,0,0
2.1.1,467,18,12
2.1.0,461,40,0
2.0.1,421,290,60
1.1.0,191,0,0
1.0.0,191,,
