version,number of symbols,added symbols,removed symbols
0.35.0,593,34,0
0.34.0,559,0,0
0.33.0,559,0,0
0.32.1,559,86,71
0.29.0,544,34,67
0.25.0,577,4,0
0.24.0,573,0,0
0.23.2,573,2,0
0.23.0,571,7,8
0.21.0,572,,
