version,number of symbols,added symbols,removed symbols
3.11.7,356,1,0
3.11.5,355,6,0
3.11.1,349,2,0
3.11.0,347,5,0
3.10.6,342,1,2
3.10.4,343,10,0
3.9.1,333,1,0
3.8.2,332,39,40
3.5.1,333,2,2
3.5.0,333,9,0
3.4.15,324,2,1
3.4.14,323,0,0
3.4.13,323,5,0
3.4.3,318,,
