version,number of symbols,added symbols,removed symbols
3.4.1,221,0,0
3.4.0,221,1,0
3.3.0,220,41,3
3.2.0,182,53,6
3.1.1,135,46,0
3.1.0,89,5,1
3.0.0,85,,
